system:index,probability,.geo
617_0,0.008284743,"{""type"":""MultiPoint"",""coordinates"":[]}"
618_0,0.0024157963,"{""type"":""MultiPoint"",""coordinates"":[]}"
620_0,0.15247954,"{""type"":""MultiPoint"",""coordinates"":[]}"
621_0,0.22559902,"{""type"":""MultiPoint"",""coordinates"":[]}"
623_0,0.12563357,"{""type"":""MultiPoint"",""coordinates"":[]}"
629_0,0.023044093,"{""type"":""MultiPoint"",""coordinates"":[]}"
631_0,0.84374654,"{""type"":""MultiPoint"",""coordinates"":[]}"
632_0,0.114047475,"{""type"":""MultiPoint"",""coordinates"":[]}"
634_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
635_0,0.02092735,"{""type"":""MultiPoint"",""coordinates"":[]}"
636_0,0.021088053,"{""type"":""MultiPoint"",""coordinates"":[]}"
641_0,0.40619767,"{""type"":""MultiPoint"",""coordinates"":[]}"
642_0,0.48759544,"{""type"":""MultiPoint"",""coordinates"":[]}"
644_0,0.17204231,"{""type"":""MultiPoint"",""coordinates"":[]}"
646_0,0.49125612,"{""type"":""MultiPoint"",""coordinates"":[]}"
648_0,0.1075159,"{""type"":""MultiPoint"",""coordinates"":[]}"
650_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
659_0,0.8528581,"{""type"":""MultiPoint"",""coordinates"":[]}"
662_0,0.18877323,"{""type"":""MultiPoint"",""coordinates"":[]}"
663_0,0.10285099,"{""type"":""MultiPoint"",""coordinates"":[]}"
665_0,0.078912444,"{""type"":""MultiPoint"",""coordinates"":[]}"
666_0,0.08365237,"{""type"":""MultiPoint"",""coordinates"":[]}"
667_0,0.07870284,"{""type"":""MultiPoint"",""coordinates"":[]}"
668_0,0.43402666,"{""type"":""MultiPoint"",""coordinates"":[]}"
670_0,0.35924155,"{""type"":""MultiPoint"",""coordinates"":[]}"
673_0,0.6246548,"{""type"":""MultiPoint"",""coordinates"":[]}"
674_0,0.033334926,"{""type"":""MultiPoint"",""coordinates"":[]}"
677_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
678_0,0.25022694,"{""type"":""MultiPoint"",""coordinates"":[]}"
679_0,0.25500607,"{""type"":""MultiPoint"",""coordinates"":[]}"
685_0,0.24976988,"{""type"":""MultiPoint"",""coordinates"":[]}"
689_0,0.022743892,"{""type"":""MultiPoint"",""coordinates"":[]}"
694_0,0.6946753,"{""type"":""MultiPoint"",""coordinates"":[]}"
696_0,0.34169877,"{""type"":""MultiPoint"",""coordinates"":[]}"
700_0,0.12123924,"{""type"":""MultiPoint"",""coordinates"":[]}"
704_0,0.017389607,"{""type"":""MultiPoint"",""coordinates"":[]}"
705_0,0.3875038,"{""type"":""MultiPoint"",""coordinates"":[]}"
707_0,0.07193818,"{""type"":""MultiPoint"",""coordinates"":[]}"
708_0,0.0039507416,"{""type"":""MultiPoint"",""coordinates"":[]}"
709_0,0.23320597,"{""type"":""MultiPoint"",""coordinates"":[]}"
710_0,0.03532275,"{""type"":""MultiPoint"",""coordinates"":[]}"
711_0,0.103687,"{""type"":""MultiPoint"",""coordinates"":[]}"
712_0,0.59155077,"{""type"":""MultiPoint"",""coordinates"":[]}"
713_0,0.10537518,"{""type"":""MultiPoint"",""coordinates"":[]}"
715_0,0.05266298,"{""type"":""MultiPoint"",""coordinates"":[]}"
716_0,0.14729375,"{""type"":""MultiPoint"",""coordinates"":[]}"
719_0,0.11229959,"{""type"":""MultiPoint"",""coordinates"":[]}"
720_0,0.7736855,"{""type"":""MultiPoint"",""coordinates"":[]}"
721_0,0.7709468,"{""type"":""MultiPoint"",""coordinates"":[]}"
722_0,0.3675075,"{""type"":""MultiPoint"",""coordinates"":[]}"
727_0,0.099958666,"{""type"":""MultiPoint"",""coordinates"":[]}"
728_0,0.01520163,"{""type"":""MultiPoint"",""coordinates"":[]}"
730_0,0.22559902,"{""type"":""MultiPoint"",""coordinates"":[]}"
734_0,0.06460922,"{""type"":""MultiPoint"",""coordinates"":[]}"
735_0,0.22559902,"{""type"":""MultiPoint"",""coordinates"":[]}"
742_0,0.100524165,"{""type"":""MultiPoint"",""coordinates"":[]}"
744_0,0.07909896,"{""type"":""MultiPoint"",""coordinates"":[]}"
746_0,0.37729144,"{""type"":""MultiPoint"",""coordinates"":[]}"
749_0,0.51089805,"{""type"":""MultiPoint"",""coordinates"":[]}"
753_0,0.1093405,"{""type"":""MultiPoint"",""coordinates"":[]}"
754_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
756_0,0.10952454,"{""type"":""MultiPoint"",""coordinates"":[]}"
758_0,0.01981849,"{""type"":""MultiPoint"",""coordinates"":[]}"
763_0,0.059212394,"{""type"":""MultiPoint"",""coordinates"":[]}"
764_0,0.11084138,"{""type"":""MultiPoint"",""coordinates"":[]}"
766_0,0.22559902,"{""type"":""MultiPoint"",""coordinates"":[]}"
767_0,0.051165476,"{""type"":""MultiPoint"",""coordinates"":[]}"
768_0,0.17986578,"{""type"":""MultiPoint"",""coordinates"":[]}"
770_0,0.09554416,"{""type"":""MultiPoint"",""coordinates"":[]}"
778_0,0.1980023,"{""type"":""MultiPoint"",""coordinates"":[]}"
779_0,0.99708134,"{""type"":""MultiPoint"",""coordinates"":[]}"
781_0,0.088706054,"{""type"":""MultiPoint"",""coordinates"":[]}"
783_0,0.022156408,"{""type"":""MultiPoint"",""coordinates"":[]}"
784_0,0.20583908,"{""type"":""MultiPoint"",""coordinates"":[]}"
786_0,0.035303228,"{""type"":""MultiPoint"",""coordinates"":[]}"
787_0,0.17270221,"{""type"":""MultiPoint"",""coordinates"":[]}"
788_0,0.11766808,"{""type"":""MultiPoint"",""coordinates"":[]}"
790_0,0.062192984,"{""type"":""MultiPoint"",""coordinates"":[]}"
791_0,0.18456773,"{""type"":""MultiPoint"",""coordinates"":[]}"
792_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
793_0,0.021384932,"{""type"":""MultiPoint"",""coordinates"":[]}"
795_0,0.014859449,"{""type"":""MultiPoint"",""coordinates"":[]}"
796_0,0.11084138,"{""type"":""MultiPoint"",""coordinates"":[]}"
798_0,0.7169975,"{""type"":""MultiPoint"",""coordinates"":[]}"
800_0,0.07895469,"{""type"":""MultiPoint"",""coordinates"":[]}"
804_0,0.002479882,"{""type"":""MultiPoint"",""coordinates"":[]}"
807_0,0.4976047,"{""type"":""MultiPoint"",""coordinates"":[]}"
809_0,0.14462978,"{""type"":""MultiPoint"",""coordinates"":[]}"
811_0,0.9984116,"{""type"":""MultiPoint"",""coordinates"":[]}"
816_0,0.9901895,"{""type"":""MultiPoint"",""coordinates"":[]}"
817_0,0.06714762,"{""type"":""MultiPoint"",""coordinates"":[]}"
818_0,0.45979995,"{""type"":""MultiPoint"",""coordinates"":[]}"
821_0,0.025893278,"{""type"":""MultiPoint"",""coordinates"":[]}"
822_0,0.34347838,"{""type"":""MultiPoint"",""coordinates"":[]}"
826_0,0.020356644,"{""type"":""MultiPoint"",""coordinates"":[]}"
831_0,0.075928405,"{""type"":""MultiPoint"",""coordinates"":[]}"
832_0,0.105786815,"{""type"":""MultiPoint"",""coordinates"":[]}"
833_0,0.6160909,"{""type"":""MultiPoint"",""coordinates"":[]}"
835_0,0.14427868,"{""type"":""MultiPoint"",""coordinates"":[]}"
839_0,0.097796425,"{""type"":""MultiPoint"",""coordinates"":[]}"
840_0,0.25192103,"{""type"":""MultiPoint"",""coordinates"":[]}"
